Ligand,Binding Affinity,rmsd/ub, rmsd/lb
8opq_L24_DB01095_uff_E=464.11,-8.1,0.0,0.0
8opq_L24_DB01095_uff_E=464.11,-8.1,14.261,11.824
8opq_L24_DB01095_uff_E=464.11,-8.1,58.476,55.203
8opq_L24_DB01095_uff_E=464.11,-8.0,15.042,12.38
8opq_L24_DB01095_uff_E=464.11,-8.0,7.693,4.433
8opq_L24_DB01095_uff_E=464.11,-7.9,19.726,17.174
8opq_L24_DB01095_uff_E=464.11,-7.9,23.745,21.569
8opq_L24_DB01095_uff_E=464.11,-7.8,51.069,48.068
8opq_L24_DB01095_uff_E=464.11,-7.8,19.04,16.621
8opq_L22_DB00588_uff_E=8287.02,-9.2,0.0,0.0
8opq_L22_DB00588_uff_E=8287.02,-8.4,43.354,40.823
8opq_L22_DB00588_uff_E=8287.02,-8.1,5.657,3.065
8opq_L22_DB00588_uff_E=8287.02,-8.1,20.435,18.268
8opq_L22_DB00588_uff_E=8287.02,-8.1,53.898,51.808
8opq_L22_DB00588_uff_E=8287.02,-8.0,15.775,11.531
8opq_L22_DB00588_uff_E=8287.02,-8.0,36.756,34.65
8opq_L22_DB00588_uff_E=8287.02,-8.0,53.429,51.43
8opq_L22_DB00588_uff_E=8287.02,-8.0,14.635,12.662
8opq_L21_DB08906_uff_E=8616.16,-10.2,0.0,0.0
8opq_L21_DB08906_uff_E=8616.16,-10.2,45.025,40.431
8opq_L21_DB08906_uff_E=8616.16,-10.2,39.911,36.725
8opq_L21_DB08906_uff_E=8616.16,-10.1,14.752,12.87
8opq_L21_DB08906_uff_E=8616.16,-9.6,18.539,16.666
8opq_L21_DB08906_uff_E=8616.16,-9.6,48.639,44.144
8opq_L21_DB08906_uff_E=8616.16,-8.8,37.774,34.121
8opq_L21_DB08906_uff_E=8616.16,-8.6,40.098,36.463
8opq_L21_DB08906_uff_E=8616.16,-8.5,51.051,47.29
8opq_L1_uff_E=5464.02,-9.4,0.0,0.0
8opq_L1_uff_E=5464.02,-9.1,42.428,40.638
8opq_L1_uff_E=5464.02,-8.8,16.303,13.587
8opq_L1_uff_E=5464.02,-8.8,4.412,2.654
8opq_L1_uff_E=5464.02,-8.8,15.448,12.689
8opq_L1_uff_E=5464.02,-8.6,11.065,6.496
8opq_L1_uff_E=5464.02,-8.6,13.882,9.698
8opq_L1_uff_E=5464.02,-8.5,22.196,18.983
8opq_L1_uff_E=5464.02,-8.5,29.566,27.109
8opq_L2_uff_E=995.59,-8.3,0.0,0.0
8opq_L2_uff_E=995.59,-8.2,40.516,37.284
8opq_L2_uff_E=995.59,-8.2,42.38,38.464
8opq_L2_uff_E=995.59,-8.1,13.506,8.646
8opq_L2_uff_E=995.59,-8.0,12.923,7.838
8opq_L2_uff_E=995.59,-8.0,15.257,8.293
8opq_L2_uff_E=995.59,-8.0,12.973,6.287
8opq_L2_uff_E=995.59,-7.9,40.367,37.671
8opq_L2_uff_E=995.59,-7.9,5.239,2.631
